g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568674030.151,0,22,0,1088,2,25181,25738,74,6371265,28120963,14,32,07,IOS,wifi,app,IMAGE,,,3000250,,,1
-4,0,1568674088.068,0,22,2,1852,2,6568,15851,74,6390046,28187327,9,237,IA,ANDROID,wifi,app,HTML,Watch Now,"Stream the latest episodes, for free!",3200050,,,1
-4,0,1568675539.065,0,23,2,1923,2,6603,14538,253,6352683,28217007,9,237,GA,IOS,wifi,app,VIDEO,,,3200480,,,1
-4,0,1568675701.965,0,23,2,1923,2,6603,14537,253,6352683,28250105,9,237,,IOS,cellular,app,VIDEO,,,3200480,,,1
-4,0,1568676129.304,0,23,2,1851,2,6570,25928,209,6363278,28245778,"1,9,9,9",237,FL,IOS,wifi,app,IMAGE,,,7280090,,,1
-4,0,1568676475.428,0,23,0,536,2,25714,27392,74,6391932,28120963,14,177,15,IOS,cellular,app,IMAGE,,,3000250,,,1
-4,0,1568677169.86,0,23,0,2303,2,6623,15669,74,6386224,28120963,14,101,00,IOS,wifi,app,IMAGE,,,3000250,3,,1
-4,0,1568677726.56,0,23,0,1061,2,6652,14758,69,6376675,5140364,"1,1,24",106,02,ANDROID,wifi,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",3000250,,,1
-4,0,1568678287.718,0,23,0,1061,2,25697,27493,69,6392896,5140364,"1,1,24",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568678374.609,0,23,0,1087,2,25179,25179,253,6359210,28582373,9,32,,ANDROID,wifi,app,VIDEO,,,3200480,,,1
-4,0,1568678394.431,0,23,0,1061,2,6652,14758,74,6376677,28224292,3,106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,1
-4,0,1568678479.795,1,0,0,1061,2,6652,14758,74,6376677,28224292,3,106,38,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,1
-4,0,1568678498.304,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678513.475,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,26,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678521.946,1,0,2,1852,2,6568,15383,253,6361284,28244614,9,237,,ANDROID,cellular,app,HTML,,,3200480,,,1
-4,0,1568678523.24,1,0,0,1061,2,6652,14758,74,6376677,28224292,3,106,26,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,1
-4,0,1568678553.073,1,0,2,1852,2,6568,15851,253,6380063,28113075,9,237,,ANDROID,cellular,app,VIDEO,,,7681024,,,1
-4,0,1568678615.651,1,0,2,1852,2,6568,15851,74,6393189,28131695,17,237,AL,ANDROID,cellular,app,HTML,Watch Now,,3200480,,,1
-4,0,1568678628.873,1,0,0,1061,2,6652,14760,74,6376678,28224292,3,106,08,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB2W,0,,,1
-4,0,1568678637.901,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,08,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678683.603,1,0,0,2416,2,25664,27147,69,6390874,28710537,"17,9,9",104,25,ANDROID,cellular,app,IMAGE,,,4800320,,,1
-4,0,1568678685.377,1,0,0,1061,2,6652,14758,69,6376677,21032817,"14,3",106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,1
-4,0,1568678703.869,1,0,1,2268,2,6644,26969,253,6392087,26371300,9,32,30,ANDROID,wifi,app,VIDEO,,,4800320,,,1
-4,0,1568678708.288,1,0,0,1061,2,6652,14760,259,6376673,25885878,9,106,30,ANDROID,cellular,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",4800320,,,1
-4,0,1568678714.509,1,0,0,1681,2,6473,14023,253,6390917,27629088,9,23,,ANDROID,wifi,app,VIDEO,,,10801920,,,1
-4,0,1568678720.463,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678742.251,1,0,0,2339,2,6842,26846,74,6376574,28250166,"1,9",45,12,ANDROID,cellular,app,VIDEO,,,10240768,,,1
-4,0,1568678789.034,1,0,2,1923,2,6603,14537,253,6352683,20079904,9,237,MA,IOS,wifi,app,VIDEO,,,3200480,,,1
-4,0,1568678813.763,1,0,0,1061,2,25697,27493,69,6392898,26371908,"1,1",106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678818.412,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,32,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678818.96,1,0,0,1061,2,25426,26202,69,6392789,26539460,3,244,20,ANDROID,wifi,app,IMAGE,,,3200480,,,1
-4,0,1568678833.587,1,0,2,1852,2,6568,15851,178,6390053,25944336,9,237,GA,ANDROID,cellular,app,HTML,Watch Now,"Stream the latest episodes, for free!",3200480,,,1
-4,0,1568678841.85,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,08,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678845.451,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678873.855,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,08,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678888.307,1,0,0,1061,2,6652,14760,69,6376678,5302488,24,106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB2W,0,,,1
-4,0,1568678892.174,1,0,0,1725,2,25611,26933,253,6390386,28582571,9,159,07,IOS,cellular,app,IMAGE,,,3200480,,,1
-4,0,1568678905.022,1,0,0,930,2,25555,26683,74,6359438,28121214,9,10,07,ANDROID,cellular,app,IMAGE,,,3200480,,,1
-4,0,1568678906.971,1,0,0,1061,2,25697,27493,69,6392896,28014499,"14,3",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568678911.777,1,0,0,1060,2,25420,26165,69,6381854,5140352,"1,1",106,08,IOS,wifi,app,HTML,Pesan Sekarang,Cari menu lokal kini lebih mudah dengan GrabFood,3200480,2,,1
-4,0,1568936850.757,3,23,0,1061,2,25697,27281,69,6392059,27037534,"1,9,9",106,08,ANDROID,cellular,app,HTML,Pesan Sekarang, {product.description},3200480,,,1
-4,0,1568936870.998,3,23,0,1061,2,6652,14760,69,6376675,5140364,"1,1,24",106,07,ANDROID,cellular,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",3000250,,,1
-4,0,1568936874.408,3,23,0,1061,2,6652,14758,69,6376675,5302488,24,106,04,ANDROID,cellular,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",3000250,,,1
-4,0,1568936892.449,3,23,0,1061,2,25697,27493,69,6392896,5140364,"1,1,24",106,08,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568936897.283,3,23,0,1061,2,25734,27495,74,6392923,315404,"1,9",202,00,ANDROID,wifi,app,IMAGE,,,3200050,,,1
-4,0,1568936919.92,3,23,0,1061,2,6652,14758,69,6376678,26813865,3,106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB2W,0,,,1
-4,0,1568936924.809,3,23,0,1061,2,25734,27495,69,6392916,564071,24,202,00,ANDROID,wifi,app,IMAGE,,,3200050,,,1
-4,0,1568936964.787,3,23,0,1061,2,25401,27497,69,6381957,27734524,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,Cara mudah mencari menulokal sekitar adalah dengan membuka aplikasi GrabFood,0,,,1
-4,0,1568936996.439,3,23,0,1061,2,25697,27493,69,6392894,27398144,"9,9",106,26,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3200480,,,1
-4,0,1568937028.225,3,23,0,1061,2,25697,27493,69,6392894,27614436,"9,9",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3200480,,,1
-4,0,1568937057.611,3,23,0,1883,2,6528,14476,253,6388341,28582482,9,10,07,ANDROID,wifi,app,IMAGE,,,4800320,0,,1
-4,0,1568937071.046,3,23,0,1061,2,25697,27493,69,6392896,5140364,"1,1,24",106,08,ANDROID,wifi,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568937072.009,3,23,0,1061,2,25401,27497,69,6391328,5140364,"1,1,24",106,26,ANDROID,cellular,app,IMAGE,,,3000250,,,1
-4,0,1568937079.302,3,23,0,1061,2,25401,27497,69,6381855,5140364,"1,1,24",106,04,ANDROID,wifi,app,HTML,Pesan Sekarang,Cari menu lokal kini lebih mudah dengan GrabFood,3000250,,,1
