epoch     train_loss  valid_loss  accuracy_thresh  fbeta     time    
0         0.928372    0.642795    0.332702         0.526245  00:08                                                                   
1         0.828097    0.509501    0.533460         0.602666  00:08                                                                   
2         0.708197    0.291513    0.781566         0.738225  00:11                                                                   
3         0.571949    0.249686    0.913510         0.814248  00:13                                                                   
4         0.479404    0.295083    0.932450         0.845864  00:13                                                                   
5         0.418987    0.328205    0.934975         0.847392  00:13                                                                   
6         0.375033    0.388866    0.922980         0.839838  00:13                                                                   
7         0.343126    0.365487    0.911616         0.863110  00:13                                                                   
8         0.317990    0.396664    0.935606         0.831728  00:13                                                                   
9         0.295879    0.337179    0.926136         0.825442  00:13                                                                    
10        0.277843    0.308667    0.924874         0.819483  00:13 
15        0.207866    0.256622    0.919192         0.788718  00:14                                                                             
25        0.127992    0.265327    0.936237         0.840953  00:11                                                                              
30        0.098183    0.239486    0.938131         0.857836  00:11                                                                           
35        0.077122    0.236632    0.940657         0.848650  00:11                                                                    
36        0.073807    0.234913    0.938763         0.844813  00:11                                                                    
37        0.070401    0.233701    0.939394         0.849042  00:11                                                                    
38        0.066920    0.234170    0.939394         0.845095  00:11                                                                    
39        0.064159    0.234910    0.940025         0.846259  00:11 
